States,2010-11,2015-16,2018-19
A.P(Andhra Pradesh),9.2,15.8,15.2
A.P(Arunachal Pradesh),34.67,23,20
Assam,31.98,35.8,33.7
Bihar,33.74,52.2,55.4
Chhattisgarh,39.93,36.3,32.1
Delhi,9.91,3.8,3.2
Goa,5.09,5.6,4.7
Gujarat,16.63,21.4,18.9
H.P(Himachal Pradesh),8.06,8.2,7.4
Haryana,11.16,11,13
Jammu and Kashmir,10.35,15.2,17.2
Jharkhand,36.96,44.8,44.3
Karnataka,20.91,17.1,15.6
Kerala,7.05,1.1,1
Ladakh,10.35,15.2,17.2
M.P,31.65,35.6,32.5
Maharashtra,17.35,16.6,14.7
Manipur,36.89,20.7,16.3
Meghalaya,11.87,32.7,30.2
Mizoram,20.4,9.7,7.4
Nagaland,18.88,23.3,24.1
Odisha,32.59,35.5,34
Punjab,8.26,6,6.2
Rajasthan,14.71,31.6,29.6
Sikkim,8.19,4.9,4.1
Tamil nadu,11.28,7.4,5.3
Tripura,14.05,20.1,17
U.P,29.43,40.4,42.6
Uttarakhand,11.26,17.1,16.5
West bengal,19.98,26,24.8
